Date,Price
08/11/2005,1628.400024
09/11/2005,1630.209961
10/11/2005,1650.930054
11/11/2005,1653.359985
14/11/2005,1651.900024
15/11/2005,1644.310059
16/11/2005,1651.449951
17/11/2005,1676.390015
18/11/2005,1679.849976
21/11/2005,1686.22998
22/11/2005,1694.140015
23/11/2005,1696.77002
25/11/2005,1701.050049
28/11/2005,1684.390015
29/11/2005,1676.839966
30/11/2005,1672.560059
01/12/2005,1704.280029
02/12/2005,1709.099976
05/12/2005,1694.77002
06/12/2005,1701.349976
07/12/2005,1697.040039
08/12/2005,1685.589966
09/12/2005,1692.619995
12/12/2005,1698.349976
13/12/2005,1705.77002
14/12/2005,1698.97998
15/12/2005,1701.699951
16/12/2005,1688.680054
19/12/2005,1664.359985
20/12/2005,1665.069946
21/12/2005,1670.609985
22/12/2005,1683.349976
23/12/2005,1682.920044
27/12/2005,1668.369995
28/12/2005,1667.099976
29/12/2005,1655.359985
30/12/2005,1645.199951
03/01/2006,1679.930054
04/01/2006,1695.829956
05/01/2006,1705.290039
06/01/2006,1734.98999
09/01/2006,1741.900024
10/01/2006,1744.02002
11/01/2006,1758.23999
12/01/2006,1747.349976
13/01/2006,1746.780029
17/01/2006,1736.390015
18/01/2006,1716.619995
19/01/2006,1729.920044
20/01/2006,1676.380005
23/01/2006,1676.300049
24/01/2006,1686.219971
25/01/2006,1677
26/01/2006,1690.48999
27/01/2006,1711.109985
30/01/2006,1713.449951
31/01/2006,1710.75
01/02/2006,1713.02002
02/02/2006,1685.77002
03/02/2006,1664.530029
06/02/2006,1657.540039
07/02/2006,1651.839966
08/02/2006,1670.469971
09/02/2006,1654.079956
10/02/2006,1663.75
13/02/2006,1645.829956
14/02/2006,1661.949951
15/02/2006,1673.150024
16/02/2006,1688.609985
17/02/2006,1675.209961
21/02/2006,1655.680054
22/02/2006,1677.52002
23/02/2006,1672.290039
24/02/2006,1676.5
27/02/2006,1695.660034
28/02/2006,1670.569946
01/03/2006,1694.579956
02/03/2006,1693.780029
03/03/2006,1684.319946
06/03/2006,1669.939941
07/03/2006,1661.02002
08/03/2006,1661.859985
09/03/2006,1645.089966
10/03/2006,1648.22998
13/03/2006,1653.790039
14/03/2006,1681.150024
15/03/2006,1694.459961
16/03/2006,1679.050049
17/03/2006,1685.660034
20/03/2006,1688.97998
21/03/2006,1672.469971
22/03/2006,1676.319946
23/03/2006,1670.72998
24/03/2006,1679.810059
27/03/2006,1680.630005
28/03/2006,1673.030029
29/03/2006,1703.839966
30/03/2006,1708.680054
31/03/2006,1703.660034
03/04/2006,1706.77002
04/04/2006,1716.550049
05/04/2006,1732.73999
06/04/2006,1739.199951
07/04/2006,1723.030029
10/04/2006,1718.859985
11/04/2006,1704.400024
12/04/2006,1704.75
13/04/2006,1712.069946
17/04/2006,1694.319946
18/04/2006,1726.640015
19/04/2006,1734.040039
20/04/2006,1728.900024
21/04/2006,1709.02002
24/04/2006,1706.439941
25/04/2006,1701.469971
26/04/2006,1702.199951
27/04/2006,1717.140015
28/04/2006,1700.709961
01/05/2006,1686.609985
02/05/2006,1689.930054
03/05/2006,1686.300049
04/05/2006,1701.030029
05/05/2006,1713.839966
08/05/2006,1715.22998
09/05/2006,1711.170044
10/05/2006,1694.819946
11/05/2006,1657.47998
12/05/2006,1635.810059
15/05/2006,1634.780029
16/05/2006,1623.689941
17/05/2006,1598.910034
18/05/2006,1587.109985
19/05/2006,1600.859985
22/05/2006,1584.569946
23/05/2006,1569.01001
24/05/2006,1580.180054
25/05/2006,1599.680054
26/05/2006,1606.369995
30/05/2006,1571.290039
31/05/2006,1579.579956
01/06/2006,1616.569946
02/06/2006,1612.900024
05/06/2006,1577.5
06/06/2006,1575.390015
07/06/2006,1565.219971
08/06/2006,1561.550049
09/06/2006,1550.969971
12/06/2006,1520.310059
13/06/2006,1516.849976
14/06/2006,1530.26001
15/06/2006,1573.079956
16/06/2006,1562.839966
19/06/2006,1548.939941
20/06/2006,1548.319946
21/06/2006,1573.560059
22/06/2006,1554.48999
23/06/2006,1551.050049
26/06/2006,1556.170044
27/06/2006,1527
28/06/2006,1538.25
29/06/2006,1585.560059
30/06/2006,1575.22998
03/07/2006,1586.25
05/07/2006,1553.949951
06/07/2006,1551.550049
07/07/2006,1533.709961
10/07/2006,1520.900024
11/07/2006,1533.060059
12/07/2006,1501.459961
13/07/2006,1478.160034
14/07/2006,1462.170044
17/07/2006,1468.5
18/07/2006,1472.339966
19/07/2006,1490.599976
20/07/2006,1466.890015
21/07/2006,1451.880005
24/07/2006,1482.339966
25/07/2006,1489.52002
26/07/2006,1487.880005
27/07/2006,1478.530029
28/07/2006,1510.300049
31/07/2006,1509.430054
01/08/2006,1484.939941
02/08/2006,1500.47998
03/08/2006,1510.599976
04/08/2006,1503.839966
07/08/2006,1494.130005
08/08/2006,1484.800049
09/08/2006,1485.640015
10/08/2006,1496.280029
11/08/2006,1486.73999
14/08/2006,1494.329956
15/08/2006,1534.430054
16/08/2006,1570.060059
17/08/2006,1573.589966
18/08/2006,1576.459961
21/08/2006,1561.119995
22/08/2006,1563.430054
23/08/2006,1550.410034
24/08/2006,1555.189941
25/08/2006,1557.699951
28/08/2006,1570.290039
29/08/2006,1573.650024
30/08/2006,1581.949951
31/08/2006,1579.72998
01/09/2006,1589.469971
05/09/2006,1603.689941
06/09/2006,1572.199951
07/09/2006,1564.839966
08/09/2006,1574.709961
11/09/2006,1583.780029
12/09/2006,1615.75
13/09/2006,1623.98999
14/09/2006,1625.97998
15/09/2006,1632.439941
18/09/2006,1632.170044
19/09/2006,1621.069946
20/09/2006,1645.349976
21/09/2006,1634.869995
22/09/2006,1622.369995
25/09/2006,1650.369995
26/09/2006,1659.199951
27/09/2006,1655.670044
28/09/2006,1661.589966
29/09/2006,1654.130005
02/10/2006,1632.810059
03/10/2006,1640.290039
04/10/2006,1681.140015
05/10/2006,1689.430054
06/10/2006,1684.880005
09/10/2006,1691.079956
10/10/2006,1693.290039
11/10/2006,1691.280029
12/10/2006,1718.540039
13/10/2006,1727.209961
16/10/2006,1727.609985
17/10/2006,1709.609985
18/10/2006,1700.75
19/10/2006,1706.369995
20/10/2006,1709.579956
23/10/2006,1725.930054
24/10/2006,1713.880005
25/10/2006,1726.76001
26/10/2006,1744.069946
27/10/2006,1717.609985
30/10/2006,1727.800049
31/10/2006,1732.540039
01/11/2006,1707.650024
02/11/2006,1710.170044
03/11/2006,1703.97998
06/11/2006,1732.26001
07/11/2006,1741.530029
08/11/2006,1749.75
09/11/2006,1740.140015
10/11/2006,1751.109985
13/11/2006,1768
14/11/2006,1787.22998
15/11/2006,1793.819946
16/11/2006,1801.969971
17/11/2006,1800.670044
20/11/2006,1803.810059
21/11/2006,1808.880005
22/11/2006,1819.76001
24/11/2006,1815.530029
27/11/2006,1775.170044
28/11/2006,1780.339966
29/11/2006,1792.77002
30/11/2006,1791.25
01/12/2006,1775.119995
04/12/2006,1799.930054
05/12/2006,1804.849976
